Temperature (K)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
1760.0	1.0000	0.0068321	146.37	1484.8	2007.3	8.8353	0.97099	1.2678	826.04	-0.083959	59.947	0.10180	vapor
1770.0	1.0000	0.0067935	147.20	1494.5	2020.0	8.8425	0.97176	1.2686	828.31	-0.084087	60.168	0.10223	vapor
1780.0	1.0000	0.0067554	148.03	1504.2	2032.7	8.8496	0.97253	1.2693	830.57	-0.084213	60.389	0.10266	vapor
1790.0	1.0000	0.0067177	148.86	1514.0	2045.4	8.8567	0.97328	1.2701	832.82	-0.084337	60.609	0.10308	vapor
1800.0	1.0000	0.0066803	149.69	1523.7	2058.1	8.8638	0.97403	1.2708	835.07	-0.084458	60.829	0.10351	vapor
1810.0	1.0000	0.0066434	150.52	1533.5	2070.8	8.8709	0.97476	1.2716	837.31	-0.084577	61.049	0.10393	vapor
1820.0	1.0000	0.0066069	151.36	1543.2	2083.5	8.8779	0.97549	1.2723	839.55	-0.084694	61.268	0.10435	vapor
1830.0	1.0000	0.0065709	152.19	1553.0	2096.2	8.8848	0.97621	1.2730	841.78	-0.084809	61.487	0.10478	vapor
1840.0	1.0000	0.0065351	153.02	1562.7	2109.0	8.8918	0.97692	1.2737	844.00	-0.084921	61.706	0.10520	vapor
1850.0	1.0000	0.0064998	153.85	1572.5	2121.7	8.8987	0.97762	1.2744	846.22	-0.085032	61.924	0.10562	vapor
1860.0	1.0000	0.0064649	154.68	1582.3	2134.5	8.9056	0.97832	1.2751	848.43	-0.085141	62.142	0.10604	vapor
1870.0	1.0000	0.0064303	155.51	1592.1	2147.2	8.9124	0.97901	1.2758	850.64	-0.085247	62.360	0.10646	vapor
1880.0	1.0000	0.0063961	156.34	1601.9	2160.0	8.9192	0.97968	1.2765	852.84	-0.085352	62.577	0.10687	vapor
1890.0	1.0000	0.0063623	157.18	1611.7	2172.7	8.9260	0.98035	1.2772	855.04	-0.085455	62.794	0.10729	vapor
1900.0	1.0000	0.0063288	158.01	1621.5	2185.5	8.9327	0.98102	1.2778	857.23	-0.085556	63.011	0.10771	vapor
1910.0	1.0000	0.0062957	158.84	1631.3	2198.3	8.9394	0.98167	1.2785	859.41	-0.085656	63.227	0.10813	vapor
1920.0	1.0000	0.0062629	159.67	1641.1	2211.1	8.9461	0.98232	1.2791	861.59	-0.085753	63.443	0.10854	vapor
1930.0	1.0000	0.0062305	160.50	1650.9	2223.9	8.9527	0.98296	1.2798	863.77	-0.085849	63.659	0.10895	vapor
1940.0	1.0000	0.0061983	161.33	1660.8	2236.7	8.9594	0.98359	1.2804	865.94	-0.085943	63.875	0.10937	vapor
1950.0	1.0000	0.0061666	162.16	1670.6	2249.5	8.9659	0.98422	1.2810	868.10	-0.086036	64.090	0.10978	vapor
1960.0	1.0000	0.0061351	163.00	1680.4	2262.3	8.9725	0.98484	1.2816	870.26	-0.086126	64.305	0.11019	vapor
1970.0	1.0000	0.0061040	163.83	1690.3	2275.1	8.9790	0.98545	1.2823	872.41	-0.086216	64.520	0.11061	vapor
1980.0	1.0000	0.0060732	164.66	1700.2	2287.9	8.9855	0.98605	1.2829	874.56	-0.086303	64.734	0.11102	vapor
1990.0	1.0000	0.0060426	165.49	1710.0	2300.8	8.9920	0.98665	1.2835	876.71	-0.086390	64.948	0.11143	vapor
2000.0	1.0000	0.0060124	166.32	1719.9	2313.6	8.9984	0.98724	1.2841	878.84	-0.086474	65.162	0.11184	vapor
